商品名,楽天価格(円),仕入価格5%OFF(円),Amazon価格(円),FBA手数料(円),Amazon紹介料(円),利益(円),利益率(%),判定,備考
ハイドロフラスク 21oz スタンダードマウス（Amazon高値時）,3520,3344,5280,600,475,861,16.3%,★要確認,Amazon高値カラー限定。購入前に同一品のAmazon価格を必ず確認
ハイドロフラスク 21oz スタンダードマウス（Amazon安値時）,3520,3344,4300,600,387,-31,-0.7%,❌ 赤字,Amazon安値カラーは赤字
ハイドロフラスク 24oz スタンダードマウス（Amazon高値時）,3850,3658,6050,600,545,1247,20.6%,★要確認,Amazon高値カラー限定。購入前に同一品のAmazon価格を必ず確認
ハイドロフラスク 24oz スタンダードマウス（Amazon安値時）,4290,4076,4800,600,432,-308,-6.4%,❌ 赤字,Amazon安値カラーは赤字
ハイドロフラスク 12oz タンブラー,2966,2817,3080,600,277,-614,-19.9%,❌ 赤字,Amazon価格が低く採算合わず
ハイドロフラスク 16oz タンブラー,3300,3135,3850,600,347,-232,-6.0%,❌ 赤字,Amazon価格と差が小さく採算合わず
VISIONPEAKS VP160301K01 インフレータマット6cmツイン,17980,17081,9800,1200,882,-9363,-95.5%,❌ 論外,AmazonはRakutenより大幅に安い
VISIONPEAKS VP160302L11 インフレータマット シングル,4990,4741,4990,900,449,-1100,-22.0%,❌ 赤字,Amazon同額で採算合わず
VISIONPEAKS VP160301B01 インフレータマット10cm,16900,16055,19620,1200,1766,599,3.1%,❌ 利益不足,利益率3%のみ。目標10%未達
SOTO ST-330 レギュレーターストーブ FUSION,11880,11286,11550,600,1040,-1376,-11.9%,❌ 赤字,Amazon価格が楽天より若干安い
ユニフレーム 飯ごう3合 660218,9900,9405,8250,900,743,-2798,-33.9%,❌ 論外,AmazonはRakutenより安い
コールマン インフレーターマットハイピーク ダブル 2000036154,20000,19000,在庫切れ,-,-,-,-,❌ 対象外,Amazon在庫なし。価格.com最安¥16,181で楽天より安い
スノーピーク HOME&CAMPバーナー GS-600,11051,10498,8700,600,783,-2081,-23.9%,❌ 赤字,スノーピークが2026年春に公式値下げ。Amazon反映済み
ジェットボイル フラッシュ,23500,22325,19250,1200,1733,-6008,-31.2%,❌ 赤字,Amazon価格が楽天より約¥4000安い
